Name,Ticker,"Sub-Sector","Market Cap","Close Price","Percentage Buy Reco’s","No. of analysts with buy reco","Percentage Hold Reco's","Percentage Sell Reco's","Total no. of analysts","Percentage Upside"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1270154.3082278098","1688.75","95.1219512195122","39","4.878048780487805","0","41","19.458785828734204"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1269709.12168787","3463.3","47.61904761904761","20","30.952380952380953","21.428571428571427","42","0.7334188268180521"
ICICI Bank Ltd,ICICIBANK,"Private Banks","681144.9544567401","995.6","95","38","5","0","40","16.801068365093222"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","627716.80155592","2703.25","75","30","20","5","40","7.201676897739185"
Infosys Ltd,INFY,"IT Services & Consulting","610337.29618377","1449.5","59.523809523809526","25","21.428571428571427","19.047619047619047","42","1.6983626563612295"
ITC Ltd,ITC,"FMCG - Tobacco","596564.203930135","492.15","88.88888888888889","32","11.11111111111111","0","36","-1.0128432703351826"
State Bank of India,SBIN,"Public Banks","536770.78477043","610.05","95.1219512195122","39","4.878048780487805","0","41","19.211904563970396"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","505153.460091575","884.85","76.92307692307693","20","11.538461538461538","11.538461538461538","26","4.794717197817973"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","458806.19161039003","7596.6","64.28571428571429","18","14.285714285714285","21.428571428571427","28","0.6631771856500611"
Life Insurance Corporation Of India,LICI,"Insurance","392371.232381535","628.25","75","12","18.75","6.25","16","24.92947529620375"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","379400.85383817996","1956.9","54.054054054054056","20","37.83783783783784","8.108108108108109","37","12.766180635686567"
Larsen & Toubro Ltd,LT,"Construction & Engineering","350570.928189495","2489.7","91.42857142857143","32","2.857142857142857","5.714285714285714","35","4.745103542288953"
Asian Paints Ltd,ASIANPAINT,"Paints","336998.746641915","3526","37.83783783783784","14","27.027027027027028","35.13513513513514","37","-7.529910517405718"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316502.17844787997","1155.8","53.84615384615385","21","33.33333333333333","12.82051282051282","39","1.278816132757371"
Axis Bank Ltd,AXISBANK,"Private Banks","297007.80349685","977.9","95.1219512195122","39","4.878048780487805","0","41","14.072384112827963"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","290148.01","9772.5","71.42857142857143","30","16.666666666666664","11.904761904761903","42","10.329896799912577"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","276307.771702375","2419.75",,"0","0","0",,"44.89943269726663"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","265949.6610204","2989.3","68.75","22","21.875","9.375","32","5.5697427937175545"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","261539.22880419","1635.8","71.42857142857143","5","14.285714285714285","14.285714285714285","7","-4.96320175171826"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","259572.05372945","1097.65","97.22222222222221","35","0","2.7777777777777777","36","6.299394555622323"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","241151.91400477997","3678.8","28.000000000000004","7","28.000000000000004","44","25","2.162796659335917"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","240105.61185072002","8224.15","75","30","15","10","40","4.121644335590444"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","223690.46455948","621.65","81.81818181818183","27","9.090909090909092","9.090909090909092","33","1.2729616500161098"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","221186.81199702","23007.95","58.82352941176471","20","26.47058823529412","14.705882352941178","34","-2.7939121963127103"
Wipro Ltd,WIPRO,"IT Services & Consulting","217743.32209097","417.95","22.5","9","35","42.5","40","-6.687402799377914"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","209776.15576005","167.2","68","17","20","12","25","9.44527736131934"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","190441.81296729","799.05","28.57142857142857","8","28.57142857142857","42.857142857142854","28","-9.837100644020708"
NTPC Ltd,NTPC,"Power Generation","186709.30641017","192.9","95.65217391304348","22","0","4.3478260869565215","23","8.54323552324071"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","184846.02855138","1545.35","87.17948717948718","34","10.256410256410255","2.564102564102564","39","4.147107384505808"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","169677.8909168","244.25","71.42857142857143","15","19.047619047619047","9.523809523809524","21","5.241521068859198"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","157992.5624373","732.45","100","21","0","0","21","14.164615805304898"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","155179.74170727","985","0","0","0","100","1","-58.964936456897874"
Tata Motors Ltd,TATAMTRDVR,"Four Wheelers","151860.114896325","346.3","100","1","0","0","1","20.568704952336642"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","147659.0806827","4985.05","42.85714285714285","15","22.857142857142858","34.285714285714285","35","0.9417893998597335"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","142625.33679","116.95","81.48148148148148","22","14.814814814814813","3.7037037037037033","27","11.396743787489287"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","141639.04678791002","661.05","76.66666666666667","23","13.333333333333334","10","30","6.972156892496783"
Coal India Ltd,COALINDIA,"Mining - Coal","140879.96955521998","229.75","59.09090909090909","13","13.636363636363635","27.27272727272727","22","11.767279090113737"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","138741.167112975","98.75","64.51612903225806","20","25.806451612903224","9.67741935483871","31","1.7811704834605597"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","136583.436675","323.15","16.66666666666666","2","16.666666666666664","66.66666666666666","12","-16.937354988399072"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","136568.547274575","2676.6","11.11111111111111","2","33.33333333333333","55.55555555555556","18","-12.879986596921011"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","136488.72599166998","4868.7","52.38095238095239","22","35.714285714285715","11.904761904761903","42","-5.538337151327307"
Siemens Ltd,SIEMENS,"Conglomerates","132088.46","3635.4","54.166666666666664","13","20.833333333333336","25","24","-2.825878960205908"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","131171.542949025","1314.05","96.66666666666669","29","3.3333333333333335","0","30","19.424625128772554"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","129103.669875","3836.95","77.77777777777779","7","11.11111111111111","11.11111111111111","9","-11.41961718770235"
DLF Ltd,DLF,"Real Estate","124013.1164706","504.9","82.35294117647058","14","11.76470588235294","5.88235294117647","17","0.5988023952095808"
