Name,Ticker,"Sub-Sector","Market Cap","Close Price","Interest Coverage Ratio","Quick Ratio","Asset Turnover Ratio","Cash Conversion Cycle","Days of Inventory Outstanding","Days Payable Outstanding","Days of Sales Outstanding","Debt to Equity","Earning Power","Inventory Turnover Ratio","Long Term Debt to Equity","Net Income / Liabilities","Current Ratio","Working Capital Turnover Ratio"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1270154.3082278098","1688.75",,,"0.10435649823794799",,,,,,"2.896857900878045",,,"2.453326111709773",,"-0.15652845978635962"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1269709.12168787","3463.3","74.05134788189987","2.530924284861564","1.6132537889866554","-1679.8145435793","236.75675675675677","98954.45945945947","73.16041012288834","8.429270004166392","40.379675064224166","1.5416666666666667","6.801087647742473","81.59642227944165","2.5315671059277287","3.4507465836543028"
ICICI Bank Ltd,ICICIBANK,"Private Banks","681144.9544567401","995.6",,,"0.11230315757733927",,,,,,"2.690500821029842",,,"2.1702587080057",,"-0.2175707084411401"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","627716.80155592","2703.25","118.05263157894737","1.0597771865646823","0.8534018651233085","-31.6649799996","52.87312137725175","116.73640276283365","15.832136386635545","2.4128102608764497","18.41619114085143","6.903318557565592","1.5973239380863782","44.8681001995123","1.4132025274359827","13.301563178462875"
Infosys Ltd,INFY,"IT Services & Consulting","610337.29618377","1449.5","118.33098591549296","1.8088347879344664","1.2387278566248834","88.3460275313","0","9440.227272727272","58.75682420317393","10.949271060096313","26.97197341808726",,"9.310640543571475","49.373988237945944","1.8088347879344664","4.579499670634373"
ITC Ltd,ITC,"FMCG - Tobacco","596564.203930135","492.15","334.2277227722773","2.0306352310615963","0.8960388029024398","89.1620174119","135.01273258227192","54.13706788640605","13.537896062733392","0.44009969112203406","30.28381600299006","2.703448726790135","0.31185472165966643","117.79683123856421","2.8873794435132227","3.043288134929381"
State Bank of India,SBIN,"Public Banks","536770.78477043","610.05",,,"0.08351058747746888",,,,,,"1.263902630809761",,,"0.994824498919337",,"-0.1207793087804994"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","505153.460091575","884.85","1.8580718034808466","0.4529923000017539","0.3991741781001589","-180.7525528727",,,"9.970189976106536","184.5628976994616","9.927985931620405","0","155.10001631587534","3.099428756477642","0.4562810236261904","-2.369316905715038"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","458806.19161039003","7596.6",,"0.3763507587869032","0.16979466268258678","-21.8542776116",,,"11.307743961459991","398.5333806125876","5.641803232199613",,"372.5576482592689","5.210478342313292","0.3763507587869032","-3.9443432073622273"
Life Insurance Corporation Of India,LICI,"Insurance","392371.232381535","628.25",,"2.780155659976377","0.19608826364602502",,,,"0","0.011257851042049382","0.9746665662073156",,"0.011257851042049382","0.848457028210471","2.780155659976377","6.902345292625862"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","379400.85383817996","1956.9",,,"0.11674546436652171",,,,,,"3.165446114287323",,,"2.936084024966262",,"-0.23669933273722585"
Larsen & Toubro Ltd,LT,"Construction & Engineering","350570.928189495","2489.7","5.466891388490122","1.3352573020074057","0.6719092783473706","137.3996544263","21.776148439936676","287.807679787148","110.74024740533385","25.63827147289975","6.979252193235425","16.76145811582562","13.198994239314835","7.779226126089156","1.3730570959285422","3.3545048949424805"
Asian Paints Ltd,ASIANPAINT,"Paints","336998.746641915","3526","40.382692973347176","1.3075749151778195","1.4349826500027905","91.0954478021","117.9869215460091","76.45671079313652","44.404555531025835","11.75138590857655","22.627740907153125","3.0935632120689576","4.89538723656792","43.99717574656288","2.0941371060787013","4.31167585356125"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316502.17844787997","1155.8","56.20679886685552","2.5501997336884155","1.175232042430616","43.6304228084",,,"67.79981325500418","10.229655194658582","22.31306440548352","0","9.002354610844112","55.17741036596693","2.5587749667110518","3.743182728364947"
Axis Bank Ltd,AXISBANK,"Private Banks","297007.80349685","977.9",,,"0.08355963119743706",,,,,,"1.3846418550752722",,,"0.8906550388301803",,"-0.13733376695139043"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","290148.01","9772.5","56.20374331550796","0.7789878697095189","1.641965163704294","-14.7668387032",,,"5.045300084911593","0.7689735874289535","14.078132220666914","0","0.05945765223598727","42.49560086947513","0.9864833906071017","145.05674531155537"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","276307.771702375","2419.75","1.818618733595635","0.671911398889138","1.137973532932968","1.8032428113","24.224732931932266","82.83844415636436","34.687629353814195","140.40746845148","5.11038906987108","15.06724557193647","121.86465839976458","2.3918924003391866","0.8263216455129727","-13.360612712834117"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","265949.6610204","2989.3","15.823333333333334","0.4390078407720145","1.696150016594756","185.0426805406","168.7767244547905","14.455556236216616","5.530708834751981","78.68783602150538","17.568467801628422","2.1626204749445237","13.499663978494624","21.500396930404868","1.6893094089264173","5.083493938451974"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","261539.22880419","1635.8",,"0.1622149252801253","0.2221754325403204",,,,"14.372287482393766","273.54410057568435","4.146788927461109",,"255.34323787392677","1.957663178688351","0.1622149252801253","-0.7864738668622664"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","259572.05372945","1097.65","55.70017441860463","1.5126359331533004","0.648083928529707","251.3512019439",,,"80.56809998607375","2.5267246712154106","13.731837843733821","0","0.9433066274286409","45.30865847855029","2.035689556438602","2.7729043863014655"
