Name,Ticker,"Sub-Sector","Market Cap","Close Price","Depreciation & Amortization","Dividend Per Share","EBITDA","Employee Cost","Earnings Per Share","Interest & Other Items","Net Income","Operating & Other expenses","PBIT","PBT","Power & Fuel Cost","Payout Ratio","Raw Materials","Selling & Administrative Expenses","Taxes & Other Items","Total Revenue","EBITDA (Q)","EPS (Q)","Net Income (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)","Total revenue (Q)"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1270154.3082278098","1688.75","0","19","61498.390000000014",,"82.64",,"45997.110000000015","143167.71","61498.390000000014","61498.390000000014",,"0.22991287512100678",,,"15501.28","204666.1","16596.72","22.15","12370.380000000001","44424.57","16596.72","16596.72","61021.29"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1269709.12168787","3463.3","5022","115","62708","127522","115.18559239425034","779","42147","9727","57686","56907","0","0.9983887533988183","37","28913","14760","228907","16395","30.26","11074","44383","15152","14989","60778"
ICICI Bank Ltd,ICICIBANK,"Private Banks","681144.9544567401","995.6","0","8","47254.75",,"48.86",,"34036.64","139922.34","47254.75","47254.75",,"0.1637331150225133",,,"13218.11","187177.09","13735.21","14.12","9852.699999999999","40438.61","13735.21","13735.21","54173.82"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","627716.80155592","2703.25","1137","39","14595","2854","43.07132122795578","114","10120","6222","13458","13344","384","0.905474893458498","28427","8785","3224","61267","3812","11.06","2600","11643","3521","3492","15455"
Infosys Ltd,INFY,"IT Services & Consulting","610337.29618377","1449.5","4225","34","37831","78359","57.85530177342573","284","24095","27787","33606","33322","176","0.5876730214484333","0","5315","9227","149468","9669","14.79","6128","28443","8548","8466","38112"
ITC Ltd,ITC,"FMCG - Tobacco","596564.203930135","492.15","1809.01","15.5","27801.9","5736.22","15.507614076208661","77.77","19191.660000000003","3300.3500000000004","25992.890000000003","25915.120000000003","1232.34","0.9995090104660044","29364.36","5604.08","6723.46","73039.25","7306.52","4.17","5175.480000000001","11010.89","6845.120000000001","6832.970000000001","18317.41"
State Bank of India,SBIN,"Public Banks","536770.78477043","610.05","3695.6","11.3","79094.15999999997","61920.91","62.35360473450045",,"55648.16999999997","313803.26","75398.55999999997","75398.55999999997",,"0.18122448650908027",,"18559.81","19750.389999999996","473378.14","23435.570000000007","20.27","17668.33000000001","113416.82","23435.570000000007","23435.570000000007","136852.39"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","505153.460091575","884.85","36431.8","4","72292.4",,"14.8","19299.9","8345.89999999999","68541.1","35860.59999999999","16560.69999999999",,"0.27027027027027023",,,"8214.8","140833.5","19583","5.3","3005.6","17311.9","10177.1","5014","36894.9"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","458806.19161039003","7596.6","485.38","30","16013.240000000003","5059.13","190.5718901590776",,"11507.690000000004","16343.570000000002","15527.860000000004","15527.860000000004",,"0.1574209080623478",,"3991.42","4020.1699999999996","41407.36","4395.24","52.25","3157.79","6969.51","4261.13","4261.13","11364.75"
Life Insurance Corporation Of India,LICI,"Insurance","392371.232381535","628.25","0","0","41462.890000000014",,"56.91",,"35996.640000000014","751085","41462.890000000014","41462.890000000014",,"0",,,"5466.25","792547.89","14181.629999999976","20.86","13190.799999999976","187452.73","14181.629999999976","14181.629999999976","201634.36"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","379400.85383817996","1956.9","599.26",,"20245.450000000004","8479.03","75.16595016774329",,"14925.020000000006","34948.96","19646.190000000006","19646.190000000006",,"0",,"4468.59","4721.17","68142.03","6155.370000000001","22.78","4529.520000000001","14575.51","5988.720000000001","5988.720000000001","20730.88"
Larsen & Toubro Ltd,LT,"Construction & Engineering","350570.928189495","2489.7","1371.64",,"13405.579999999994","8298.22","55.854391787676796","2201.24","7848.969999999995","35710.69","12033.939999999995","9832.699999999995","2648.52","0","52338.03","2134.89","1983.7300000000002","114535.93","9095.149999999994","28.37","3986.7799999999943","49980.91","8241.649999999994","5907.359999999994","59076.06"
Asian Paints Ltd,ASIANPAINT,"Paints","336998.746641915","3526","858.02","25.65","6691.299999999999","2028.07","42.81129546805981","144.45","4106.449999999999","3616.5499999999993","5833.279999999999","5688.829999999999","138.29","0.5991409444532384","18985.53","3509.18","1582.38","34968.92","1968.9300000000003","12.87","1234.14","6947.24","1748.7600000000002","1709.8500000000001","8916.17"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316502.17844787997","1155.8","4145","48","23986",,"54.85","353","14851","78828","19841","19488",,"0.8751139471285323",,,"4637","102814","5709","13.05","3534","20931","4782","4696","26640"
Axis Bank Ltd,AXISBANK,"Private Banks","297007.80349685","977.9","13145.65","1","31766.830000000016","9664.96","35.201413033321685",,"10818.450000000015","59094.78","18621.180000000015","18621.180000000015",,"0.028407950528957438",,"5628.18","7802.73","106154.75","-3153.4500000000007","-17.43","-5399.530000000001","33279","-3153.4500000000007","-3153.4500000000007","30125.55"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","290148.01","9772.5","2825.7","90","13335.799999999988",,"271.82","187","8210.999999999987","106553.6","10510.099999999988","10323.099999999988",,"0.33110146420425285",,,"2112.1","119889.4","4142.5999999999985","88.41","2670.799999999999","28708","3402.8999999999987","3303.699999999999","32850.6"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","276307.771702375","2419.75","2436.14","1.2","9656.019999999999","1877.33","22.081682559527003","3969.98","2472.939999999999","15256.880000000003","7219.879999999999","3249.899999999999","18.43","0.054343684941810175","103239.89","8138.33","776.96","138186.88","3588.100000000002","6.34","722.4800000000024","28128.3","2692.6700000000023","1167.5700000000024","31716.4"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","265949.6610204","2989.3","441","10","5188","1647","36.562327608625324","300","3250","-1323","4747","4447","59","0.2735055630769231","32589","2724","1197","40884","1203","8.22","730","9271","1084","988","10474"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","261539.22880419","1635.8","677.8","0.8","17488.93","8767.15","13.439896796065236",,"6417.280000000001","16267.380000000005","16811.13","16811.13",,"0.059524266602569",,"39549.74","10393.85","82073.2","4721.040000000001","11.1","1768.9500000000007","18905.77","4540.460000000001","4540.460000000001","23626.81"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","259572.05372945","1097.65","2529.43","11.5","12109.859999999997",,"35.3","172","8473.579999999996","32410.34","9580.429999999997","9408.429999999997",,"0.3257790368271955",,,"934.85","44520.2","3003.960000000001","8.3","1984.4700000000014","8299.99","2332.430000000001","2239.6900000000014","11303.95"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","241151.91400477997","3678.8","638.87","0","3766.3700000000026",,"36.72","67.41","2378.510000000003","39202.53","3127.5000000000027","3060.090000000003",,"0",,,"681.58","42968.9","1074.0100000000002","10.14","658.7500000000001","10830.17","911.8300000000002","897.2600000000001","11904.18"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","240105.61185072002","8224.15","2887.99","38","10926.96",,"175.63","622.72","5063.959999999999","52820.93","8038.969999999999","7416.249999999999",,"0.21636394693389513",,,"2352.29","63747.89","3445.459999999999","57.78","1665.9499999999991","15339.89","2683.7999999999993","2492.399999999999","18785.35"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","223690.46455948","621.65","24860.36","2","38143.389999999956","33654.7","7.269213996437499","10225.48","2414.289999999956","12133.100000000002","13283.029999999955","3057.5499999999556","2513.33","0.27513290996525364","231251.26","34839.19","643.2599999999999","352534.97","14476.009999999995","14.11","5407.789999999995","93094.86","7425.809999999995","4784.139999999995","107570.87"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","221186.81199702","23007.95","403.01","220","3813.5499999999993","1635.46","247.93883188089362","154.57","2390.5199999999986","1650.1900000000005","3410.539999999999","3255.969999999999","572.61","0.8873156267255665","6660.42","3192.15","865.45","17524.38","1129.17","76.4","736.6400000000001","3735.05","1027.47","990.46","4864.22"
