Name,Ticker,"Sub-Sector","Market Cap","Percentage Hold Reco's","No. of analysts with buy reco","Percentage Buy Reco’s","Percentage Sell Reco's","Total no. of analysts","Percentage Upside"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1855806.6688434","9.375","27","84.375","6.25","32","3.3357637623040466"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1222324.40640752","30.952380952380953","20","47.61904761904761","21.428571428571427","42","4.63845773899507"
HDFC Bank Ltd,HDFCBANK,"Private Banks","917668.61964703","7.5","37","92.5","0","40","21.86947778928768"
ICICI Bank Ltd,ICICIBANK,"Private Banks","668709.45101562","5","38","95","0","40","18.970388197132987"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","623745.99232314","20","30","75","5","40","7.8841300335254525"
ITC Ltd,ITC,"FMCG - Tobacco","587698.7706552","11.11111111111111","32","88.88888888888889","0","36","0.423728813559322"
Infosys Ltd,INFY,"IT Services & Consulting","564881.14378146","21.428571428571427","25","59.523809523809526","19.047619047619047","42","9.882059922350019"
State Bank of India,SBIN,"Public Banks","522669.89791471","4.878048780487805","39","95.1219512195122","0","41","22.42807137368736"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","513668.967317625","7.6923076923076925","21","80.76923076923077","11.538461538461538","26","3.1015196881532168"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","452146.13100202003","14.285714285714285","18","64.28571428571429","21.428571428571427","28","-0.08829903941348519"
Life Insurance Corporation Of India,LICI,"Insurance","389430.10845057","18.75","12","75","6.25","16","25.872990092577545"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","372068.04128881","37.83783783783784","20","54.054054054054056","8.108108108108109","37","14.991709899983952"
Larsen & Toubro Ltd,LT,"Construction & Engineering","344386.40807629505","2.857142857142857","32","91.42857142857143","5.714285714285714","35","6.422055792502496"
Asian Paints Ltd,ASIANPAINT,"Paints","325866.612721005","27.027027027027028","14","37.83783783783784","35.13513513513514","37","-4.370981742213596"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","300190.42424448","30.76923076923077","22","56.41025641025641","12.82051282051282","39","6.150793650793656"
Axis Bank Ltd,AXISBANK,"Private Banks","295715.001674535","4.878048780487805","39","95.1219512195122","0","41","14.565432484507632"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","291356.01","16.666666666666664","30","71.42857142857143","11.904761904761903","42","6.762856891127807"
