Name,Ticker,"Sub-Sector","Market Cap","ROCE","Interest Coverage Ratio","Quick Ratio","Cash Conversion Cycle","Asset Turnover Ratio","Days of Inventory Outstanding","Days Payable Outstanding","Days of Sales Outstanding","Earning Power","Debt to Equity","Inventory Turnover Ratio","Long Term Debt to Equity","Net Income / Liabilities","Current Ratio","Working Capital Turnover Ratio"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1855806.6688434","9.611415509765035","5.8439527872873125","0.7750905521249781","1.9285183451","0.6324178598049376",,,"8.73376798228194","7.631811090455098","35.90143354661051","0","26.75976170549751","10.941247100738472","1.1242686174520997","13.322780269058295"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1222324.40640752","58.09206352403299","74.05134788189987","2.530924284861564","-1679.8145435793","1.6132537889866554","236.75675675675677","98954.45945945947","73.16041012288834","40.379675064224166","8.429270004166392","1.5416666666666667","6.801087647742473","81.59642227944165","2.5315671059277287","3.4507465836543028"
HDFC Bank Ltd,HDFCBANK,"Private Banks","917668.61964703","10.88599503440481",,,,"0.10435649823794799",,,,"2.896857900878045",,,,"2.453326111709773",,"-0.15652845978635962"
ICICI Bank Ltd,ICICIBANK,"Private Banks","668709.45101562","7.106091034207057",,,,"0.11230315757733927",,,,"2.690500821029842",,,,"2.1702587080057",,"-0.2175707084411401"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","623745.99232314","22.044587134924402","118.05263157894737","1.0597771865646823","-31.6649799996","0.8534018651233085","52.87312137725175","116.73640276283365","15.832136386635545","18.41619114085143","2.4128102608764497","6.903318557565592","1.5973239380863782","44.8681001995123","1.4132025274359827","13.301563178462875"
ITC Ltd,ITC,"FMCG - Tobacco","587698.7706552","36.055390680322446","334.2277227722773","2.0306352310615963","89.1620174119","0.8960388029024398","135.01273258227192","54.13706788640605","13.537896062733392","30.28381600299006","0.44009969112203406","2.703448726790135","0.31185472165966643","117.79683123856421","2.8873794435132227","3.043288134929381"
Infosys Ltd,INFY,"IT Services & Consulting","564881.14378146","39.34668071654373","118.33098591549296","1.8088347879344664","88.3460275313","1.2387278566248834","0","9440.227272727272","58.75682420317393","26.97197341808726","10.949271060096313",,"9.310640543571475","49.373988237945944","1.8088347879344664","4.579499670634373"
State Bank of India,SBIN,"Public Banks","522669.89791471","5.036644021865648",,,,"0.08351058747746888",,,,"1.263902630809761",,,,"0.994824498919337",,"-0.1207793087804994"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","513668.967317625","14.507818555780124","1.8580718034808466","0.4529923000017539","-180.7525528727","0.3991741781001589",,,"9.970189976106536","9.927985931620405","184.5628976994616","0","155.10001631587534","3.099428756477642","0.4562810236261904","-2.369316905715038"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","452146.13100202003","6.043404474097837",,"0.3763507587869032","-21.8542776116","0.16979466268258678",,,"11.307743961459991","5.641803232199613","398.5333806125876",,"372.5576482592689","5.210478342313292","0.3763507587869032","-3.9443432073622273"
Life Insurance Corporation Of India,LICI,"Insurance","389430.10845057","0.9913336413888345",,"2.780155659976377",,"0.19608826364602502",,,"0","0.9746665662073156","0.011257851042049382",,"0.011257851042049382","0.848457028210471","2.780155659976377","6.902345292625862"
