Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1Y Forward EPS Growth","3Y Historical Dividend Growth","5Y Historical Revenue Growth","1Y Hist Op. Cash Flow Growth","1Y Historical EBITDA Growth","5Y Historical EBITDA Growth","5Y Hist Op. Cash Flow Growth","1Y Historical Revenue Growth","1Y Forward Revenue Growth","1Y Forward EBITDA Growth","1Y Historical EPS Growth","5Y Historical EPS Growth","1Y Fwd Op. Cash Flow Growth"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1855806.6688434","2740.7","27.822354184932983","13.804645501572168",,"17.28084158680261","310.46813561836933","20.36055803241443","15.832641428810334","17.431522563701975","24.125109148108592","5.171969069689682","14.21792516864","9.85353053393627","10.308712532815555","21.951219512195124"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1222324.40640752","3514.65","29.001456957969012","11.298641900633474","16.356770833651435","12.549860818944424","5.046434203609603","9.869469995619799","11.640997921962114","10.855430610050565","16.92530086018429","6.793767927586309","8.979733036332101","10.567931705556136","11.619493405767134","15.33968783510069"
HDFC Bank Ltd,HDFCBANK,"Private Banks","917668.61964703","1644.5","19.950571234736916","12.7783155856728","96.6095144983117","15.093076023660279","-128.1557663128628","17.01918270521566","15.881097946088474",,"22.046341163800577","-29.645775924786758",,"20.077964763272046","18.15349049471724","36.73926308152804"
ICICI Bank Ltd,ICICIBANK,"Private Banks","668709.45101562","960.05","19.646752764539038","8.002455996725345",,"9.487289150105038","-57.89493628604945","32.84519622425841","31.75749288315206","1.9991405680705565","18.815197663624474","-49.74765148875858",,"34.89752924786077","32.38282347679559","-152.47136190072126"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","623745.99232314","2676.9","61.63497947857115","11.154008363518773","15.977799952979943","11.210611179753416","10.422192749778956","11.616702355460385","13.199565969095662","10.520184512242036","15.845103711687191","6.81312941714136","12.058657243816299","13.976230588476449","12.323987352371656","30.616938306169374"
ITC Ltd,ITC,"FMCG - Tobacco","587698.7706552","472.9","30.622612669003093","9.430115532955444","15.156525259485921","9.831164480206933","19.663643203928107","23.383750050481858","8.184857306588999","7.467198602955327","16.82182824839673","2.877288581139597","5.7897892622328","25.301326408518307","10.870178054296332","10.764638419710181"
Infosys Ltd,INFY,"IT Services & Consulting","564881.14378146","1425.95","23.443915492071383","7.68243893010998","24.780567401032737","15.148833204076873","-5.936780406112623","11.97241460960161","11.317003562737682","11.192595432869567","20.600955331784142","5.291600877779859","7.0228447180415","10.400777441186408","9.98518946822231","26.534917879556687"
State Bank of India,SBIN,"Public Banks","522669.89791471","584.4","9.392400467341698","7.3314049523911144",,"9.08064642845694","-249.0838090401483","48.03351681361939",,,"16.31681593493075","-56.613078922486785",,"57.31429518051179",,"-100.22089509585403"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","513668.967317625","886.5","61.54746250465805","62.162162162162154","26.775929115113218","10.456288915796952","14.13048438958614","16.2444122849333","17.824585527564075","14.23604941848684","15.39151680808597","10.220757135198657","13.705654976955001","99.64691031204279","42.96220442634642","13.666214565416396"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","452146.13100202003","7482.35","39.29078129511829","22.734260443529873","44.22495703074083","26.551380400994763","-13.616914577823072","61.94046529501894","32.33514965749988",,"30.83700259573654","-14.770224423870536",,"63.348152952603066","33.76422499889627",
Life Insurance Corporation Of India,LICI,"Insurance","389430.10845057","618.7","10.818512740371597","-45.24688104023897",,,"-104.69285889042013","229.74915838706002",,,"9.355515887313182","14.087225694336276","-22.9383777204066","343.2391842177925",,
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","372068.04128881","1869","25.17300170284577","8.463180362860204",,"11.861695866397737","72.45986072897053","23.232448659842067","16.236000067311828","-8.63519399897621","15.122535584065378","-50.32819454606595",,"22.97080384588151","17.758990246199268","-125.75597820400344"
Larsen & Toubro Ltd,LT,"Construction & Engineering","344386.40807629505","2472.25","32.89042282443765","26.358878002952622","10.064241629820891","8.947565280257642","-16.94665209315145","11.817985289946618","6.703507064207348","23.55556854874208","17.321067708995486","11.90934155718067","20.1207712708545","20.737205259345174","7.201721362344005","-37.744545365140915"
Asian Paints Ltd,ASIANPAINT,"Paints","325866.612721005","3429.75","79.3548229543779","24.26626996067168","28.815673285259912","15.299686937825573","325.08591065292103","31.21508229254295","13.577196168313499","14.68744957892023","18.487059539468543","9.96759408068652","19.624307860936","35.50091236962014","15.030456859972485","39.599325611730734"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","300190.42424448","1150.95","20.213482206213722","5.99817684594348","68.68653306034984","14.695446402276158","-13.854623305127944","11.066864234117428","13.966311504205642","13.44284444265158","18.561313683433657","7.260149395996652","6.266130457839799","10.26337544677383","12.135097003550444","2.0711866289077534"
Axis Bank Ltd,AXISBANK,"Private Banks","295715.001674535","957.05","27.334322539230165","117.0509460164993",,"12.665602844360047","-21.546203793540958","59.00547840297926","93.98488939481271",,"23.27207629776231","-35.539439167818685",,"-23.54157212844414","80.4975277544596","-98.95808701151269"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","291356.01","9603.65","35.48362075264894","34.52652490618792","14.471424255333186","7.88816160608552","-79.217949007475","75.17601933585539","-1.348474719589332","-29.112176136342082","32.86146167178654","15.710859759077945","32.6284106483204","111.65459958551395","0.8266760158972986","49.72977062931017"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","273859.835706","3055.55","84.26456483261538","20.35885808763077","35.72088082974534","20.32653598289116","289.22651933701655","47.34450440215848","24.79329226623841",,"40.8190679571522","11.272734076900495","15.9325477448192","49.3765689292382","23.493993482466745","139.44525547445258"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","269273.964785805","2376.1","108.88819170129686",,"6.265856918261115","30.460299176455543","1172.4113536613536","104.32950815856306","32.09430476626327","43.051683374551274","96.19707837369272",,,"212.73381488324821","38.71474370951269",
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","258084.46604805","1072.95","30.457547582963766","7.280453257790369","42.19334899257827","10.252679309112178","45.60779985641057","79.34130184630371","17.114944333367667","4.873414776004381","12.056996785297546","8.33311474341985","8.193485202019101","158.7947201296776","32.222270529863415","86.46874242221344"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","256925.98287309","1614.2","40.03658604160797","309.787372892061","99.99926666397776","20.08709004417748","-17.254385878938493","47.79406607280628","22.816639122116534",,"19.921717126701765","17.863626616240136",,"134.68045350191213","32.18048660920687",
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","248687.40293222002","3838.75","104.55596273810903","21.31535947712418",,"23.229516502219873","-0.2028884331777267","43.97493874212123","21.192379175108943","24.6916186961053","38.191392742466704","22.19279525424202","26.2843583913248","59.366765961074435","23.235033931244708","18.20459496553586"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","237358.1041836","8182.55","46.87203378059859","45.419347491886356","42.98157656398376","15.092222879717232","-25.73663465976771","-10.31551784421586","11.337249301541895","13.151092685190303","19.673310147543766","8.707754876279035","32.637626708475","-30.970059032536785","16.759448929411015","14.298820864728597"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","223269.76137782997","624.9","92.47843522436578","382.85825698902016",,"3.340116993292064","147.76609397437343","40.5216374510296","0.39956062063060127","8.204801590188794","25.182195708718382","20.875430315466307","55.963796972915304","121.09792929734515","-22.77601895361341","57.56720991092743"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","220027.8950907","23138.05","92.04185494817033","24.671878807790858","-13.67587367864962","11.461110055198919","22.425313059033982","10.537040364983357","10.899300677707991","8.532513891230153","14.485528582543882","10.734302725688433","20.4850134058986","12.845011116828077","14.303041733225164",
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","211097.08507668","169.25","5.956383352501991","34.29179978700744","31.03706971044482","15.774977078900566","65.30619035337145","-12.891542674763544","2.3197129109465475","11.245613828741607","38.539991574087736","-8.245385989867826","34.3162581525512","-22.150706601537678","10.337485945428337","-3.3460932933735705"
Wipro Ltd,WIPRO,"IT Services & Consulting","205402.03799548","405.05","18.097095858632592","10.183137936916271","0","10.213473873718293","17.87413016597922","1.9332199177648832","8.119108085395222","9.167369772757405","13.977087426839162","2.0208445413801925","8.3909633550102","-7.266658814827902","10.100222843297257","15.486098881325546"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","192865.28025471498","804.85","46.54084948231539","299.1685426032819","19.348319192733697","18.36064411179741","-11.218119527978683","-50.80070737338507","6.327823092354845","13.506248458939996","12.60726116960873","1.3838084269696445","49.9083918964764","-79.96234886026215","-7.807249165139085","1.1927136972193608"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","187532.93543796","1546.55","18.239841991728838","-15.74382553358675","90.51470430258226","5.650548193312099","-176.49615303512823","35.55267083051001","6.62648919817912",,"35.73317420888269","-23.74376348280498","-38.3601885193711","50.37531843749288","5.155382806957753","-248.2195104545779"
NTPC Ltd,NTPC,"Power Generation","182200.35665786001","187.45","10.773086060816375","11.118119266055045","32.030971107105934","13.773268432023468","28.800865243129255","10.393638382232865","12.18635899337579","15.68696580508413","29.929404735643004","0.5160415030599605","1.6757558469279998","1.4097334338537983","10.353770924650242","-1.9463666200184377"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","169573.25912384","240.05","10.999023107029066","-1.3574660633484195","25.28811938750639","6.605410903777065","-11.152588811632137","0.37371487692239197","6.255989919385985","3.8998908219698647","1.1053042823581771","0.652635056700356","2.9291724304063","-8.371660712180542","13.445412206959118","-13.426719930198189"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","154925.1651354","726.1","29.175124974181667","50.12205044751831","16.039720840319482","12.728964770403728","29.70494111792561","4.192075495062063","7.100820042347444","19.2578549515231","22.81800449193343","6.827677339101795","14.3777394231481","7.720657050500268","6.741063651170598","-11.473792732590994"
Tata Motors Ltd,TATAMTRDVR,"Four Wheelers","151860.114896325","337.15","-11.28954813564435","77.35740084985837",,,,"17.04824758773122",,,"-4.39445946904028","20.086542645522066","60.025706688632894","-6.049311926605503",,
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","150015.79582899","965.2","154.02032425974332","3.9113996608829606",,"41.516033630073814","132.33130796290374","40.258770838517044","44.829581020907085","62.12315219877959","54.05884438142503","23.102853198343308","47.9164405860011","97.91542036285499",,"-7.443909153475559"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","146270.44267332","670.05","106.90095789847035","34.26650210958192",,"17.097789334363366","15.828753361357267","-1.7013061055251533","2.440284009679461","0.4234180388328568","5.527666317384283","13.65235803496155",,"0.008414030576541786","3.06222958348219",
LTIMindtree Ltd,LTIM,"IT Services & Consulting","144778.97431782","5093.1","32.84235971186625","14.295293454494956","28.923198938929808","34.26525752954392","-4.802042636970496","10.810720936419225","32.80090168969259","29.679999459719085","25.546149695808307","9.248385442754723","14.059302192314599","-11.203422431974658","18.088105564997182","74.07580947456859"
Coal India Ltd,COALINDIA,"Mining - Coal","141681.12423773","231.05","5.030362807342324","-18.599562363238512","26.42806730415732","9.924762672645727","287.8954006733117","51.681671449820264","24.90383978639652","20.07471536989245","27.446834577824887","-7.437416338674104","-15.568717038764099","62.25087108836787","32.15042110782915","-26.276004092337075"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","140364.352445","117.15","16.022596279279536","671.4861339435637","230.1723617489825","12.10164846367392","-51.14331609096597","-47.72487827585581","0.9334426959656028","21.997972702344626","-0.48068504686642477","-6.44979582694445","-4.3133763422626","-60.609111851877906","1.5184660928695637","36.88830184641665"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","139731.29933","328.55","13.293815938540577","2.0900321543408342","66.01767818403725","8.050211985641486","20.100312292987603","9.117698041254984","5.829522586398039","10.834177921058652","15.726122129436316","-8.546945908616852","-2.2626528047527","9.17638043410531","2.5344550854030867","-8.066296516623709"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","137699.78348391","4859.6","22.7219491542224","13.44568242230892","5.272659960939663","7.4389484968040875","25.736382025202456","2.991639449691586","5.498623846386974","4.047126915154142","6.5521485202048035","7.04206386901042","21.444738649382302","-0.6128831257986508","7.751671416807504","15.944912476172092"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","135846.31324446","96.6","13.873023741994617","122.4331926863572","1.9255851832863158","14.739280757229078","-50.51314979067565","-29.795295748269034","-4.906907644011193","-2.7291436864161467","42.6449926549749","-7.578062141452951","46.281409405040804","-60.993188027561764","-14.549906573633642","21.73438421358722"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","133123.7627187","2623.5","104.55430019139989","45.22954091816368","16.260329205681458","13.72753094892567","-31.373506784567535","7.657731327850228","6.431337224011013","3.776154192806125","18.92048862790572","10.666492343119344","38.9811375902679","5.426922739864013","5.840272150161252","14.6048010683308"
