Name,Ticker,"Sub-Sector","Market Cap","Total revenue (Q)","PBT (Q)","PBIT (Q)","Operating and Other Expenses (Q)","Net Income (Q)","EPS (Q)","EBITDA (Q)","Total Revenue","Taxes & Other Items","Selling & Administrative Expenses","Raw Materials","Payout Ratio","Power & Fuel Cost","PBT","PBIT","Operating & Other expenses","Net Income","Interest & Other Items","Earnings Per Share","Employee Cost","EBITDA","Dividend Per Share","Depreciation & Amortization"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1855806.6688434","215894","24114","29933","174505","19299","28.52","41389","891294","28099",,,"0",,"94801","114372","736603","66702","19571","98.59",,"154691","0","40319"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1222324.40640752","60778","14989","15152","44383","11074","30.26","16395","228907","14760","28913","37","0.9983887533988183","0","56907","57686","9727","42147","779","115.18559239425034","127522","62708","115","5022"
HDFC Bank Ltd,HDFCBANK,"Private Banks","917668.61964703","57158.84","16782.690000000002","16782.690000000002","40376.149999999994","12594.470000000001","22.58","16782.690000000002","204666.1","15501.28",,,"0.22991287512100678",,"61498.390000000014","61498.390000000014","143167.71","45997.110000000015",,"82.64",,"61498.390000000014","19","0"
ICICI Bank Ltd,ICICIBANK,"Private Banks","668709.45101562","54173.82","13735.21","13735.21","40438.61","9852.699999999999","14.12","13735.21","187177.09","13218.11",,,"0.1637331150225133",,"47254.75","47254.75","139922.34","34036.64",,"48.86",,"47254.75","8","0"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","623745.99232314","15455","3492","3521","11643","2600","11.06","3812","61267","3224","8785","28427","0.905474893458498","384","13344","13458","6222","10120","114","43.07132122795578","2854","14595","39","1137"
ITC Ltd,ITC,"FMCG - Tobacco","587698.7706552","18317.41","6832.970000000001","6845.120000000001","11010.89","5175.480000000001","4.17","7306.52","73039.25","6723.46","5604.08","29364.36","0.9995090104660044","1232.34","25915.120000000003","25992.890000000003","3300.3500000000004","19191.660000000003","77.77","15.507614076208661","5736.22","27801.9","15.5","1809.01"
Infosys Ltd,INFY,"IT Services & Consulting","564881.14378146","38112","8466","8548","28443","6128","14.79","9669","149468","9227","5315","0","0.5876730214484333","176","33322","33606","27787","24095","284","57.85530177342573","78359","37831","34","4225"
State Bank of India,SBIN,"Public Banks","522669.89791471","136852.39","23435.570000000007","23435.570000000007","113416.82","17668.33000000001","20.27","23435.570000000007","473378.14","19750.389999999996","18559.81",,"0.18122448650908027",,"75398.55999999997","75398.55999999997","313803.26","55648.16999999997",,"62.35360473450045","61920.91","79094.15999999997","11.3","3695.6"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","513668.967317625","36894.9","5014","10177.1","17311.9","3005.6","5.3","19583","140833.5","8214.8",,,"0.27027027027027023",,"16560.69999999999","35860.59999999999","68541.1","8345.89999999999","19299.9","14.8",,"72292.4","4","36431.8"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","452146.13100202003","11364.75","4261.13","4261.13","6969.51","3157.79","52.25","4395.24","41407.36","4020.1699999999996","3991.42",,"0.1574209080623478",,"15527.860000000004","15527.860000000004","16343.570000000002","11507.690000000004",,"190.5718901590776","5059.13","16013.240000000003","30","485.38"
Life Insurance Corporation Of India,LICI,"Insurance","389430.10845057","201634.36","14181.629999999976","14181.629999999976","187452.73","13190.799999999976","20.86","14181.629999999976","792547.89","5466.25",,,"0",,"41462.890000000014","41462.890000000014","751085","35996.640000000014",,"56.91",,"41462.890000000014","0","0"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","372068.04128881","20730.88","5988.720000000001","5988.720000000001","14575.51","4529.520000000001","22.78","6155.370000000001","67981.02","4865.74",,,"0.02001067235859125",,"19646.18000000001","19646.18000000001","47735.579999999994","14780.440000000011",,"74.96",,"20245.44000000001","1.5","599.26"
Larsen & Toubro Ltd,LT,"Construction & Engineering","344386.40807629505","59076.06","5907.359999999994","8241.649999999994","49980.91","3986.7799999999943","28.37","9095.149999999994","186405.86","6638.3099999999995",,,"0.322104415514696",,"17109.029999999977","26342.629999999976","156560.98","10470.719999999978","9233.6","74.51",,"29844.879999999976","24","3502.25"
Asian Paints Ltd,ASIANPAINT,"Paints","325866.612721005","8916.17","1709.8500000000001","1748.7600000000002","6947.24","1234.14","12.87","1968.9300000000003","34968.92","1582.38","3509.18","18985.53","0.5991409444532384","138.29","5688.829999999999","5833.279999999999","3616.5499999999993","4106.449999999999","144.45","42.81129546805981","2028.07","6691.299999999999","25.65","858.02"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","300190.42424448","26640","4696","4782","20931","3534","13.05","5709","102814","4637",,,"0.8751139471285323",,"19488","19841","78828","14851","353","54.85",,"23986","48","4145"
Axis Bank Ltd,AXISBANK,"Private Banks","295715.001674535","30125.55","-3153.4500000000007","-3153.4500000000007","33279","-5399.530000000001","-17.43","-3153.4500000000007","106154.75","7802.73","5628.18",,"0.028407950528957438",,"18621.180000000015","18621.180000000015","59094.78","10818.450000000015",,"35.201413033321685","9664.96","31766.830000000016","1","13145.65"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","291356.01","32850.6","3303.699999999999","3402.8999999999987","28708","2670.799999999999","88.41","4142.5999999999985","119889.4","2112.1",,,"0.33110146420425285",,"10323.099999999988","10510.099999999988","106553.6","8210.999999999987","187","271.82",,"13335.799999999988","90","2825.7"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","273859.835706","10474","988","1084","9271","730","8.22","1203","40884","1197","2724","32589","0.2735055630769231","59","4447","4747","-1323","3250","300","36.562327608625324","1647","5188","10","441"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","269273.964785805","31716.4","1167.5700000000024","2692.6700000000023","28128.3","722.4800000000024","6.34","3588.100000000002","138186.88","776.96","8138.33","103239.89","0.054343684941810175","18.43","3249.899999999999","7219.879999999999","15256.880000000003","2472.939999999999","3969.98","22.081682559527003","1877.33","9656.019999999999","1.2","2436.14"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","258084.46604805","11303.95","2239.6900000000014","2332.430000000001","8299.99","1984.4700000000014","8.3","3003.960000000001","44520.2","934.85",,,"0.3257790368271955",,"9408.429999999997","9580.429999999997","32410.34","8473.579999999996","172","35.3",,"12109.859999999997","11.5","2529.43"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","256925.98287309","23626.81","4540.460000000001","4540.460000000001","18905.77","1768.9500000000007","11.1","4721.040000000001","82073.2","10393.85","39549.74",,"0.059524266602569",,"16811.13","16811.13","16267.380000000005","6417.280000000001",,"13.439896796065236","8767.15","17488.93","0.8","677.8"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","248687.40293222002","10627.18","624.9699999999999","640.4999999999999","9822.6","460.1299999999999","7.1","804.5799999999999","42968.9","681.58",,,"0",,"3060.090000000003","3127.5000000000027","39202.53","2378.510000000003","67.41","36.72",,"3766.3700000000026","0","638.87"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","237358.1041836","18785.35","2492.399999999999","2683.7999999999993","15339.89","1665.9499999999991","57.78","3445.459999999999","63747.89","2352.29",,,"0.21636394693389513",,"7416.249999999999","8038.969999999999","52820.93","5063.959999999999","622.72","175.63",,"10926.96","38","2887.99"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","223269.76137782997","107570.87","4784.139999999995","7425.809999999995","93094.86","5407.789999999995","14.11","14476.009999999995","352534.97","643.2599999999999","34839.19","231251.26","0.27513290996525364","2513.33","3057.5499999999556","13283.029999999955","12133.100000000002","2414.289999999956","10225.48","7.269213996437499","33654.7","38143.389999999956","2","24860.36"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","220027.8950907","4864.22","990.46","1027.47","3735.05","736.6400000000001","76.4","1129.17","17524.38","865.45","3192.15","6660.42","0.8873156267255665","572.61","3255.969999999999","3410.539999999999","1650.1900000000005","2390.5199999999986","154.57","247.93883188089362","1635.46","3813.5499999999993","220","403.01"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","211097.08507668","166728.8","5903.779999999988","7971.889999999988","152037.72","3715.4799999999877","2.95","14691.079999999987","692937.36","7610.28",,,"0.3993610223642172",,"43050.76000000004","50940.12000000004","617440.19","35440.48000000004","7889.36","28.17",,"75497.17000000004","11.25","24557.05"
