Name,Ticker,"Sub-Sector","Market Cap","Retail Investor Holding","Pledged Promoter Holdings","No. of Shareholders","MF Holding Change – 3M","Mutual Fund Holding","Insider Trades - 6M Cumulative","Insider Trades - 3M Cumulative","Insider Trades - 1M Cumulative","Insurance Firms Holding","FII Holding Change – 6M","FII Holding Change – 3M","Foreign Institutional Holding","DII Holding Change – 6M","DII Holding Change – 3M","Domestic Institutional Holding","Promoter Holding Change – 6M "," MF Holding Change – 6M","Bulk Deals - 6M Cumulative","Bulk Deals - 3M Cumulative","Bulk Deals - 1M Cumulative"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1855806.6688434","7.577019931133343","0","3639396","0.5235468797082081","6.177458458826552",,,,"8.555263033624174","-1.669377380596","-0.9376104603880151","21.91262449106135","0.7239310481389154","0.8014403574179596","15.722391320588589","-1.4582966960632078","0.4955922247252955",,,
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1222324.40640752","4.451126327490346","0.3452558795216456","2499384","0.16079853492671914","3.4731425729015037",,,,"5.566398780375911","-0.3371493248504329","-0.22692105558475184","12.717406113335814","1.0539283291992199","0.3235797968666567","9.635671354647581","0","0.13408103630907986",,,
HDFC Bank Ltd,HDFCBANK,"Private Banks","917668.61964703","8.318013489700652","0","2345672","-4.103367961132763","14.363451527229357","0.06458215736750873","0.05148514838058966","0","6.227508822855884","-5.015472687342111","-4.99675020017002","27.239601992933366","-6.189022138931271","-6.305468083025456","22.031178673276465","-4.77645155798308","-4.0061781640890874",,,
ICICI Bank Ltd,ICICIBANK,"Private Banks","668709.45101562","6.725316487744679","0","1833994","0.6650721822081529","29.352880201481646",,,,"12.553358120558917","-0.6057519231961237","-0.9446845850540768","44.1568849969044","0.5707109902219543","0.9168813818972623","45.3652268663181","0","0.5652158313367757",,,
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","623745.99232314","10.61321647867109","0","1127982","0.31816159350357687","4.272902722431048","-0.0000638408911481558","-0.0000638408911481558","0","6.472524751839156","0.320386618802468","0.03770992062873901","14.363083207618773","-0.1654736746292862","0.022716844781999868","11.580427217302104","0","0.5675925943241791",,,
ITC Ltd,ITC,"FMCG - Tobacco","587698.7706552","11.127877734174534","0","2930527","-0.18666420511370774","9.46709878051179",,,,"20.388739667152365","0.6322948733092915","0.35764686923401","43.320415630230634","-0.34147576003088176","-0.11551842540529123","42.05266567779677","0","-0.12113827198616178",,,
Infosys Ltd,INFY,"IT Services & Consulting","564881.14378146","7.459299653805372","0","2801574","0.6100622903315944","16.04908606693412","-0.0194368517748627","-0.008045231879454343","0","11.46075855133507","-0.4962051649098811","-0.8296775787504558","30.80535868941614","1.7137176176721454","1.156914920750836","29.714589518425207","0.1873054181125795","0.8350155741082492",,,
State Bank of India,SBIN,"Public Banks","522669.89791471","6.244124957504263","0","2993298","-0.1495886622710625","13.045795195823363",,,,"10.330791316175333","-0.07211056583094155","-0.20718923837091907","9.882434247908675","-0.20838089911161006","-0.16613088671341814","25.189025959515188","-0.024837955952072832","-0.2523503759608463",,,
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","513668.967317625","1.449214208052517","0","758715","0.547653653186547","11.412883157782447",,,,"6.883087831307488","-0.897343777447773","-0.7253979956861478","20.978828538455215","1.045755735738009","0.7737221004304615","19.93437958308857","-0.10997241202568375","0.6698214618723597",,,
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","452146.13100202003","8.10448741579018","0","890706","0.11371816266427359","9.261742238997568","0.08805465787145372","0.08805465787145372","0","2.63654315482979","-1.3314637881055198","-0.694374465396848","19.165082833058378","0.8318524652409689","0.5477931720551705","12.989079270310027","0.050950958953777103","0.5435348709037324",,,
Life Insurance Corporation Of India,LICI,"Insurance","389430.10845057","2.038695507819917","0","3378799","-0.03667330977263861","0.6272009236260748",,,,"0.07617828855871706","-0.09673269919185383","-0.08606015776320992","0.07996537293919247","-0.011999909500046146","-0.022208798586249467","0.896153590554483","0","-0.011494834217648076",,,
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","372068.04128881","4.523449259599292","0","582733","1.165602921966462","10.991952002704144","-0.004962407297049953","-0.0028343872559926787","0","8.601852650376712","-1.4958188579989056","-1.4763744518839275","39.43059010236639","1.384995477466063","1.2313002760475555","21.348867575320842","-0.010728963069531972","1.0639046250538904","-2.2240489482701573","-2.2240489482701573","0"
Larsen & Toubro Ltd,LT,"Construction & Engineering","344386.40807629505","18.658060613701373","0","1425064","-0.06728437559292999","17.596667908611366","-0.0008152144188686686","-0.00024554651170743025","0","18.488583020973014","2.374370514637299","1.1884754140717781","24.4839959283782","-1.8525407731754484","-1.1382805175302764","38.768782427270395","0","-0.3397387840620887",,,
Asian Paints Ltd,ASIANPAINT,"Paints","325866.612721005","12.538738334666096","3.9021490030747468","1082650","0.02917646422016862","3.6985903605970565",,,,"5.3140039031991515","-1.5509437318449208","-1.1010810398134865","17.012457253472196","1.2261265739571812","0.8065801527753731","10.008731045971238","0","-0.0030703782167811333",,,
