Name,Ticker,"Sub-Sector","Market Cap","Earnings Quality Rank","Fundamental Score","Price Momentum Rank","Price to Intrinsic Value Rank","Value Momentum Rank"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1855806.6688434","24","7.71428571428571","40","48","41"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1222324.40640752","98","5.65","36","55","44"
HDFC Bank Ltd,HDFCBANK,"Private Banks","917668.61964703","26","5.66612903225806","85","57","62"
ICICI Bank Ltd,ICICIBANK,"Private Banks","668709.45101562","54","5.50322580645161","56","68","75"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","623745.99232314","86","6.45555555555556","31","18","19"
ITC Ltd,ITC,"FMCG - Tobacco","587698.7706552","90","6.66666666666667","94","54","76"
Infosys Ltd,INFY,"IT Services & Consulting","564881.14378146","94","5.68461538461538","6","63","16"
State Bank of India,SBIN,"Public Banks","522669.89791471","20","5.48870967741936","48","88","89"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","513668.967317625","60","7.06666666666667","33","51","31"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","452146.13100202003","9","5.89565217391304","30","41","46"
Life Insurance Corporation Of India,LICI,"Insurance","389430.10845057","27","5.01428571428571","29",,"19"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","372068.04128881","48","6.29193548387097","36","29","21"
Larsen & Toubro Ltd,LT,"Construction & Engineering","344386.40807629505","79","4.17301587301587","90","56","58"
Asian Paints Ltd,ASIANPAINT,"Paints","325866.612721005","88","4.66960784313725","26","10","24"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","300190.42424448","94","5.91410256410256","64","70","71"
Axis Bank Ltd,AXISBANK,"Private Banks","295715.001674535","48","4.67258064516129","86","87","91"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","291356.01","35","6.7","68","57","60"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","273859.835706","73","4.55294117647059","65","4","23"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","269273.964785805","58","3.26052631578947","22","2","7"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","258084.46604805","94","4.38285714285714","37","62","36"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","256925.98287309","5",,"43","35","46"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","248687.40293222002","21","10","6","2","8"
