Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Dividend Yield","Dividend Yield vs Sector","Dividend Yield vs Sub-sector","Enterprise Value","EV / Invested Capital","EV / Revenue Ratio","EV / Free Cash Flow","EV / EBIT Ratio","EV/EBITDA Ratio","Sector PB","Sector Dividend Yield","Sector PE","Price / Free Cash Flow","PB Premium vs Sub-sector","PB Ratio","PB Premium vs Sector","PE Premium vs Sub-sector","PE Premium vs Sector","Forward PE Ratio","Price / Sales","Price / CFO","PS Ratio","PS Premium vs Sub-sector","Forward PS Ratio"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1855806.6688434","27.822354184932983",,,,"2140167.6688433997","1.7714537437183706","2.4011916032682814","203.65093432709105","18.712339286218654","13.835114317209145","1.6511147325992133","0.8718085295979987","18.94172837550484","176.59212759000857","10.258686843708736","2.0875591336215273","26.433317588733267","1.3844606041023115","46.88392544427168","24.426916221033867","2.0821487285266143","16.77125697076834","2.0821487285266143","177.3885103924234","1.9782087615765858"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1222324.40640752","29.001456957969012","3.442546885991814","0.7974499103768218","0.5911653903462191","1182865.40640752","11.960942083518919","5.167449690955366","30.435234951949568","20.50524228422009","18.863070204878483","7.03938004682387","2.645096975614992","26.239576758295822","31.450518626206613","86.4875982686483","13.401798197569457","90.38321710753884","13.594714810378495","10.525627852591038","27.41536661466459","5.339829740495135","29.127234752949363","5.339829740495135","40.34312586530542","5.260725081907353"
HDFC Bank Ltd,HDFCBANK,"Private Banks","917668.61964703","19.950571234736916","1.1481843912732623","0.050363784906936715","0.40797328334701866","763003.2996470301","3.07604845689479","3.728039473303249",,"12.406882515900495","12.406882515900495","2.356395732210513","1.0978206063663256","15.462357448790888",,"23.22149710932189","3.699581827119046","57.001719895685866","0.18181837424649847","29.02671084154114","17.644849785407725","4.483735311549054",,"4.483735311549054","32.9690575834146","6.3334698117906285"
ICICI Bank Ltd,ICICIBANK,"Private Banks","668709.45101562","19.646752764539038","0.8313371319572012","-0.26648347440912445","0.09112602403095749","491564.35101562005","2.6142398281391315","2.6261993442446405","8.738694978150257","10.402432581182211","10.402432581182211","2.356395732210513","1.0978206063663256","15.462357448790888","11.887859462058763","18.450351008999494","3.55633372657355","50.92260090105435","-1.3438064533328637","27.061819839608983","18.1931021413682","3.5726030948318517","11.507365263866678","3.5726030948318517","5.948641842388664","7.092665050526061"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","623745.99232314","61.63497947857115","1.4690925528308283","-0.059203057552541516","0.0023585268896051392","617693.99232314","11.938192000988385","10.082001604830333","70.20047645449938","45.89790402163323","42.32230163228092","9.928239214782378","1.5282956103833698","47.84176145098868","70.88828188693488","1.6821525789773175","12.346027321229169","24.35263750340435","0.9906140900370791","28.83091593881401","55.913776357427075","10.180782351398634","62.43078694056051","10.180782351398634","2.7314748177968693","9.611102561150773"
ITC Ltd,ITC,"FMCG - Tobacco","587698.7706552","30.622612669003093","3.277772297715382","1.749476687332012","-0.00013334097509831722","566275.2906552","8.107619284851864","7.753027182716143","35.0970395632233","21.78577644329661","20.368222698995393","9.928239214782378","1.5282956103833698","47.84176145098868","36.42484025936871","3.299573975613949","8.451380454782143","-14.875334166015127","2.847712247763056","-35.99187876814628","27.866823806717736","8.04634180464887","31.132152776986423","8.04634180464887","4.488749573498036","7.821595710611145"
Infosys Ltd,INFY,"IT Services & Consulting","564881.14378146","23.443915492071383","2.489677536561734","-0.15541943905325795","-0.36170395908386066","554486.14378146","6.593646916325302","3.7097314728333823","27.880437639856193","16.499617442762005","14.656925372880972","7.03938004682387","2.645096975614992","26.239576758295822","28.403114631006638","3.7058850623678956","7.452749439692064","5.872241449084772","-8.173410107636133","-10.65436874983348","22.888443017656503","3.7792781316499853","25.14270457922553","3.7792781316499853","-0.6717943668051728","3.747862134872576"
State Bank of India,SBIN,"Public Banks","522669.89791471","9.392400467341698","1.929479978406113","0.8316593720397873","-0.09522556499398083","217194.60791471","0.5842209199499828","0.4588184150512527",,"2.8806201062024277","2.746025849629228","2.356395732210513","1.0978206063663256","15.462357448790888",,"29.906937601779543","1.405903634172192","-40.336692391929994","0.3561230177305587","-39.25634885593621","8.732162868883078","1.1041276597916203",,"1.1041276597916203","14.123050734597538","2.539408085173835"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","513668.967317625","61.54746250465805","0.4582184484087364","0.024167427031671684","-0.027035274031178336","694371.867317625","2.65419582641997","4.930445294036042","25.143187539337614","19.36308559582453","9.60504655147187","8.389482910929395","0.4340510213770647","-62.232263327495986","18.599940156413513","-98.29891497838325","5.587305893485887","-33.40106949610653","305.4046072270651","198.89960482517856","36.9375","3.6473492976999435","9.336617808400101","3.6473492976999435","21.534636718734294","3.360510724045797"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","452146.13100202003","39.29078129511829","0.40103461506605237","-0.6967859913002732","-0.22084998867255473","664532.1010020201","2.4515828436228007","16.048646931415576",,"42.79611620674194","41.49891595966962","2.356395732210513","1.0978206063663256","15.462357448790888",,"89.93204635944947","8.315793005919964","252.9030753301779","49.305342779793534","154.10602118883702","31.989935740945803","10.919462892635996",,"10.919462892635996","81.11550428911046","12.814703333716428"
