Name,Ticker,"Sub-Sector","Market Cap","Close Price","% Away From 52W Low","% Away From 52W High","1Y Return","1Y Return vs Nifty","5Y CAGR","6M Return","6M Return vs Nifty","1M Return","1M Return vs Nifty","Face value"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1270154.3082278098","1688.75","24.608005902969943","4.071058475203548","23.713417090949054","2.7804747786588067","9.061111430940084","1.673740931394681","-9.151297273806772","5.05443234836703","-1.1233246440918006","1"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1269709.12168787","3463.3","18.35890776118383","3.2252475962232463","9.431875631951465","-11.501066680338782","11.645136550358504","2.979394011477514","-7.845644193723939","7.299315301917786","1.1215583094589556","1"
ICICI Bank Ltd,ICICIBANK,"Private Banks","681144.9544567401","995.6","27.624663504678892","0.2511048613901057","27.135742561614098","6.20280024932385","30.228483200662936","14.390762336990866","3.5657241317894126","7.5684727999567905","1.3907158074979602","2"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","627716.80155592","2703.25","12.964897618052662","2.4563025987237586","3.7915146861201765","-17.14142762617007","10.299373041941706","6.061794997547818","-4.763243207653636","1.0145360786218784","-5.163220913836952","1"
Infosys Ltd,INFY,"IT Services & Consulting","610337.29618377","1449.5","22.289715683793144","15.391514315281118","-4.342374447304161","-25.27531675959441","16.54810628199335","-4.985087345547504","-15.810125550748957","11.209145312260235","5.031388319801405","5"
ITC Ltd,ITC,"FMCG - Tobacco","596564.203930135","492.15","67.6260217983651","0.3047851264858181","65.04024144869216","44.107299136401906","12.426679829658948","47.086072922892996","36.261034717691544","8.678370321298432","2.500613328839602","1"
State Bank of India,SBIN,"Public Banks","536770.78477043","610.05","22.16881946530489","3.1964593066142077","19.94691309476994","-0.9860292175203078","18.461914642108734","3.014184397163105","-7.810853808038349","7.516743038420864","1.3389860459620335","1"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","505153.460091575","884.85","33.22041553748871","1.3335593603435614","31.939163498098864","11.006221185808617","21.14937592440189","15.749885538622536","4.9248473334210825","6.454523580365734","0.2767665879069039","5"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","458806.19161039003","7596.6","38.480048125125336","5.308954005739408","25.059265112603725","4.126322800313478","22.7911230950534","29.6259640980138","18.800925892812344","4.798035536916457","-1.3797214555423736","2"
Life Insurance Corporation Of India,LICI,"Insurance","392371.232381535","628.25","18.526554098669944","20.055710306406695","-8.644757888614228","-29.577700200904474",,"-10.06370338558442","-20.888741590785873","-0.333148250971686","-6.510905243430516","10"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","379400.85383817996","1956.9","19.069059933069667","5.493382390515622","7.066064833812069","-13.866877478478179","7.976227727115792","11.004594701911623","0.1795564967101697","6.122559652928421","-0.05519733953040884","5"
