Name,Ticker,"Sub-Sector","Market Cap","Close Price","Value Momentum Rank","Price to Intrinsic Value Rank","Price Momentum Rank","Fundamental Score","Earnings Quality Rank"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1270154.3082278098","1688.75","65","55","78","5.66612903225806","26"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1269709.12168787","3463.3","19","50","23","5.65","100"
ICICI Bank Ltd,ICICIBANK,"Private Banks","681144.9544567401","995.6","71","69","53","5.50322580645161","54"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","627716.80155592","2703.25","17","15","26","6.45555555555556","86"
Infosys Ltd,INFY,"IT Services & Consulting","610337.29618377","1449.5","22","60","5","5.68461538461538","94"
ITC Ltd,ITC,"FMCG - Tobacco","596564.203930135","492.15","71","55","95","6.66666666666667","90"
State Bank of India,SBIN,"Public Banks","536770.78477043","610.05","86","88","53","5.48870967741936","20"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","505153.460091575","884.85","31","49","50","7.06666666666667","60"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","458806.19161039003","7596.6","59","44","40","5.89565217391304","9"
Life Insurance Corporation Of India,LICI,"Insurance","392371.232381535","628.25","20",,"24","5.01428571428571","26"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","379400.85383817996","1956.9","25","30","38","6.29193548387097","38"
Larsen & Toubro Ltd,LT,"Construction & Engineering","350570.928189495","2489.7","56","56","91","4.17301587301587","79"
Asian Paints Ltd,ASIANPAINT,"Paints","336998.746641915","3526","38","9","26","4.66960784313725","88"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316502.17844787997","1155.8","40","69","51","5.91410256410256","95"
Axis Bank Ltd,AXISBANK,"Private Banks","297007.80349685","977.9","88","86","78","4.67258064516129","48"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","290148.01","9772.5","61","59","72","6.7","35"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","276307.771702375","2419.75","6","3","19","3.26052631578947","57"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","265949.6610204","2989.3","26","5","68","4.55294117647059","73"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","261539.22880419","1635.8","49","35","37",,"5"
