Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Dividend Yield","Dividend Yield vs Sector","Dividend Yield vs Sub-sector","Enterprise Value","EV / Revenue Ratio","EV / Invested Capital","EV / Free Cash Flow","EV / EBIT Ratio","EV/EBITDA Ratio","Sector Dividend Yield","Sector PB","Sector PE","Price / Free Cash Flow","PB Premium vs Sub-sector","PB Premium vs Sector","PB Ratio","PE Premium vs Sub-sector","PE Premium vs Sector","Forward PE Ratio","Price / Sales","Price / CFO","PS Ratio","PS Premium vs Sub-sector","Forward PS Ratio","PS Premium vs Sector","TTM PE Ratio"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1270154.3082278098","1688.75","27.613785044925855","0.8295470704737561","-0.19817965984097297","0.19170921764318305","1115488.9882278098","5.450287019823067","4.497094812707395",,"18.138507174379843","18.138507174379843","1.027726730314729","2.485912822204302","16.437916381714356",,"53.14671020439118","105.98583092672988","5.120628182931652","21.483007097582078","67.98835329058863","18.462337378375423","6.205982858068873",,"6.205982858068873","61.09790001726804","6.097824469626235","221.88925233739516","26.033951285691575"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1269709.12168787","3463.3","30.125729510709423","3.3140732842466116","0.7877888322483524","0.5996856817121166","1230250.12168787","5.374453912234532","12.440088596758853","31.65444800431931","21.326667158199044","19.618710877206578","2.5262844519982592","7.377084724764392","27.498384744157313","32.669731678576355","84.23173815637304","88.71049721569453","13.921333264125934","12.220608497223752","9.554542170373669","27.014820592823718","5.546833961774301","30.25638321667747","5.546833961774301","38.64545555043818","5.18386444629472","49.20160998135424","29.026567032162173"
ICICI Bank Ltd,ICICIBANK,"Private Banks","681144.9544567401","995.6","20.012109140524448","0.8161596052097116","-0.2115671251050174","0.1783217523791386","503999.8544567401","2.6926364463553742","2.6803743806378426","8.95976485688976","10.665591384077581","10.665591384077581","1.027726730314729","2.485912822204302","16.437916381714356","12.108929340798266","8.340047342016513","45.719843701524326","3.622468279072261","-11.959508890192911","21.743587665320206","18.866780367633122","3.6390401969425854","11.721359368660178","3.6390401969425854","-5.5360372058298095","7.355301624190143","88.74817333673278","20.012109140524466"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","627716.80155592","2703.25","62.027351932403164","1.459799371163348","-0.04044315819435362","0.002711421650898327","621664.80155592","10.146813154812868","12.014935960957848","70.65175605817934","46.19295597829693","42.594368040830425","1.5002425293577015","9.868011363647765","48.382149760088126","71.33956149061484","1.6564913183280472","25.908073161627843","12.424622967339378","0.9651273511594729","28.202967912706047","56.46416225418011","10.245593901381168","62.82822555859474","10.245593901381168","2.705548742420616","9.705709215297855","99.53649706702677","62.027351932403164"
Infosys Ltd,INFY,"IT Services & Consulting","610337.29618377","1449.5","25.33045429274829","2.304253571416267","-0.22203088058199238","-0.4101340311182282","599942.29618377","4.013851099792397","7.134186698025663","30.166044659280473","17.852237582091593","15.858483682265074","2.5262844519982592","7.377084724764392","27.498384744157313","30.688721650430917","6.564603021959776","9.15523797966992","8.05247438727845","-5.64215239226627","-7.883846529820819","23.26645264847512","4.083397758609","27.165945439256244","4.083397758609","2.066250105472193","3.809759223323257","9.837345768293302","25.33045429274829"
ITC Ltd,ITC,"FMCG - Tobacco","596564.203930135","492.15","31.08455464145024","3.2290619134777967","1.7288193841200952","-0.001199179056173616","575140.723930135","7.874406212141212","8.234549700101425","35.646508112408085","22.126847916108403","20.687101382644173","1.5002425293577015","9.868011363647765","48.382149760088126","36.9743088085535","3.333732759029839","-13.063846663164664","8.578869490397157","2.881721610941269","-35.7520184704715","28.95","8.16772083407394","31.601781159638566","8.16772083407394","4.523301589820209","8.139983778763535","59.06919793422485","31.08455464145024"
State Bank of India,SBIN,"Public Banks","536770.78477043","610.05","9.645794008507922","1.878792832909702","0.8510661025949728","-0.08557957593841281","231295.49477042997","0.4886062013138798","0.6221501907088329",,"3.067638092430811","2.9243055969041207","1.027726730314729","2.485912822204302","16.437916381714356",,"29.436177860555727","-41.91940714756157","1.443832904931042","-0.00754980355378248","-41.31984988536646","9.115427717594322","1.1339154460542473",,"1.1339154460542473","13.709489004767683","2.650865678234596","-41.18656085721097","9.856832816416963"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","505153.460091575","884.85","60.52714028344164","0.46594275956722403","0.029070760802312245","-0.022362330285921828","685856.360091575","4.869980225525709","2.6216457983974606","24.834841240683176","19.12562422523815","9.487253986471261","0.4368719987649118","8.32800735283555","-63.38947359875708","18.291593857759075","-98.31659582839998","-34.021664994421535","5.494680590543046","303.2696592338864","195.48452897174468","36.87643259012294","3.5868842291896104","9.18183711991608","3.5868842291896104","20.271421972642756","3.359227903463593","7.3773013200577235","60.52714028344158"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","458806.19161039003","7596.6","39.86952999345567","0.39521317043162096","-0.6325135598831081","-0.21900613086496956","671192.1616103901","16.209489366392596","2.4761530491860055",,"43.22502660446384","41.91482558247987","1.027726730314729","2.485912822204302","16.437916381714356",,"90.35415164996594","239.44407088480676","8.438283682337671","49.6371592178182","142.54612973823615","32.47839861135457","11.080305327613015",,"11.080305327613015","81.51801568210787","12.968263267161499","474.7085158216574","39.869529993455686"
Life Insurance Corporation Of India,LICI,"Insurance","392371.232381535","628.25","10.90021825319071",,,,"347768.52238153503","0.4387981177787692","30.346399322644668",,"8.387464607062723","8.387464607062723","1.027726730314729","2.485912822204302","16.437916381714356",,"489.47822052078095","1277.4538329087175","34.24230145222243","-47.87284240207045","-33.68856490037762","20.16206675224647","0.495075739059169",,"0.495075739059169","-48.85974243048026","0.43947111516707826","-74.32162428728857","10.616475314791394"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","379400.85383817996","1956.9","25.420458655209828",,,,"336475.50383818","4.937855591302167","2.9958358308300626",,"17.126756070168305","16.61980859097624","1.027726730314729","2.485912822204302","16.437916381714356",,"1.0292880179797206","35.886705059125475","3.378025024735742","11.833772668629798","54.645260779448364","24.068926498081275","5.567794998742772",,"5.567794998742772","44.531511371788866","11.512561154592298","188.78799866213055","25.669117687848267"
Larsen & Toubro Ltd,LT,"Construction & Engineering","350570.928189495","2489.7","44.66457741455187",,,,"344115.52818949503","3.0044330035954223","3.8291866799444576","70.70295582743896","28.595416645711644","25.669574027344968","0.5493648022104091","5.613936989607899","43.5011349669085","72.02930068449845","34.48470795214081","-12.696312759627506","4.901173991278863","42.41615410114235","2.6745105582380897","26.443972384492827","3.0607943567533353","48.26168208380759","3.0607943567533353","46.83684078303254","1.6774379510657795","6.280241072724015","33.48100785517508"
Asian Paints Ltd,ASIANPAINT,"Paints","336998.746641915","3526","82.06571287655154","0.7300746236793243","-2.552330046835738","0.05726797524715721","335844.20664191496","9.60407718173495","18.27374507737107","122.22205480778031","57.57381895638732","50.19117460611765","3.2824046705150622","2.903924990739655","20.86185049719418","122.64222061194508","20.869012359109416","605.6437679711305","20.491365723710604","4.870953137613235","293.3769580392161","66.2781954887218","9.63709335724166","80.36350830749886","9.63709335724166","22.0564266052422","8.806143250595602","526.504376995507","82.0657128765516"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316502.17844787997","1155.8","21.311842869024307","4.115482719479919","1.58919826748166","1.4010951169454242","304062.17844787997","2.9574005334670375","4.448670477225416","19.931968433161583","15.324942212987247","12.676652149081963","2.5262844519982592","7.377084724764392","27.498384744157313","20.747438770755817","-32.44980502239723","-30.80762843142309","5.104379873687707","-20.61178222725114","-22.497837355510434","19.879600963192292","3.078395728673916","18.72793955312899","3.078395728673916","-23.054199727659938","2.8422216484644616","-17.19571884734177","20.95763332326049"
Axis Bank Ltd,AXISBANK,"Private Banks","297007.80349685","977.9","27.453822266299664","0.10359498894555584","-0.9241317413691732","-0.5342428638850172","188693.26349685004","1.7775301010727267","1.4495342311767","9.122068143694383","10.13326027119924","5.939946274049062","1.027726730314729","2.485912822204302","16.437916381714356","14.35835796412777","-31.76230162129263","-8.218733642359517","2.281602268766068","20.779273098799276","67.01522035262008","12.798900595510764","2.7978757756657147","13.454621223715481","2.7978757756657147","-27.37138946768109","4.397112153226774","45.11901855980788","27.621952225215278"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","290148.01","9772.5","35.33650103519674","0.9370116100399931","0.3672345679097416","0.31138614417028476","283431.21","2.3641056673901115","5.083147294607149",,"26.967508396685126","21.253408869359188","0.5697770421302515","6.186206651823186","61.535634799751044",,"8.528575481792831","-15.23686103584389","5.243622940894756","-68.60020553034968","-42.575548054085075","26.724915907785707","2.4201306370705002","157.64629720184732","2.4201306370705002","142.8866939398944","2.1225742918197112","53.45518814820678","35.33650103519662"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","276307.771702375","2419.75","111.7325012747479","0.04951005673027334","-0.49985474548013575","0.0008830230861980801","328808.58170237497","2.3794486256754257","3.6096908635419314","113.31428098395273","45.542111739028215","34.052185238056154","0.5493648022104091","5.613936989607899","43.5011349669085","95.22140912086368","-1.9309119961675127","29.897379020387003","7.292357009356677","60.27348066375731","156.8496232563663",,"1.9995224706019483","15.675738163101098","1.9995224706019483","2.146973571633813",,"-30.570399237367116","111.73250127474765"
