Company Name,Symbol,Industry
360 ONE WAM Ltd.,360ONE,Financial Services
3M India Ltd.,3MINDIA,Diversified
ABB India Ltd.,ABB,Capital Goods
ACC Ltd.,ACC,Construction Materials
AIA Engineering Ltd.,AIAENG,Capital Goods
APL Apollo Tubes Ltd.,APLAPOLLO,Capital Goods
AU Small Finance Bank Ltd.,AUBANK,Financial Services
Aarti Drugs Ltd.,AARTIDRUGS,Healthcare
Aarti Industries Ltd.,AARTIIND,Chemicals
Aavas Financiers Ltd.,AAVAS,Financial Services
Abbott India Ltd.,ABBOTINDIA,Healthcare
Adani Enterprises Ltd.,ADANIENT,Metals & Mining
Adani Green Energy Ltd.,ADANIGREEN,Power
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Services
Adani Power Ltd.,ADANIPOWER,Power
Adani Total Gas Ltd.,ATGL,Oil Gas & Consumable Fuels
Adani Transmission Ltd.,ADANITRANS,Power
Adani Wilmar Ltd.,AWL,Fast Moving Consumer Goods
Aditya Birla Capital Ltd.,ABCAPITAL,Financial Services
Aditya Birla Fashion and Retail Ltd.,ABFRL,Consumer Services
Aegis Logistics Ltd.,AEGISCHEM,Oil Gas & Consumable Fuels
Aether Industries Ltd.,AETHER,Chemicals
Affle (India) Ltd.,AFFLE,Information Technology
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,Healthcare
Alembic Pharmaceuticals Ltd.,APLLTD,Healthcare
Alkem Laboratories Ltd.,ALKEM,Healthcare
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,Chemicals
Amara Raja Batteries Ltd.,AMARAJABAT,Automobile and Auto Components
Amber Enterprises India Ltd.,AMBER,Consumer Durables
Ambuja Cements Ltd.,AMBUJACEM,Construction Materials
Angel One Ltd.,ANGELONE,Financial Services
Anupam Rasayan India Ltd.,ANURAS,Chemicals
Apar Industries Ltd.,APARINDS,Capital Goods
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Healthcare
Apollo Tyres Ltd.,APOLLOTYRE,Automobile and Auto Components
Aptus Value Housing Finance India Ltd.,APTUS,Financial Services
Archean Chemical Industries Ltd.,ACI,Chemicals
Asahi India Glass Ltd.,ASAHIINDIA,Automobile and Auto Components
Ashok Leyland Ltd.,ASHOKLEY,Capital Goods
Asian Paints Ltd.,ASIANPAINT,Consumer Durables
Aster DM Healthcare Ltd.,ASTERDM,Healthcare
Astral Ltd.,ASTRAL,Capital Goods
Atul Ltd.,ATUL,Chemicals
Aurobindo Pharma Ltd.,AUROPHARMA,Healthcare
Avanti Feeds Ltd.,AVANTIFEED,Fast Moving Consumer Goods
Avenue Supermarts Ltd.,DMART,Consumer Services
Axis Bank Ltd.,AXISBANK,Financial Services
BASF India Ltd.,BASF,Chemicals
BEML Ltd.,BEML,Capital Goods
BLS International Services Ltd.,BLS,Consumer Services
BSE Ltd.,BSE,Financial Services
Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile and Auto Components
Bajaj Finance Ltd.,BAJFINANCE,Financial Services
Bajaj Finserv Ltd.,BAJAJFINSV,Financial Services
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Financial Services
Balaji Amines Ltd.,BALAMINES,Chemicals
Balkrishna Industries Ltd.,BALKRISIND,Automobile and Auto Components
Balrampur Chini Mills Ltd.,BALRAMCHIN,Fast Moving Consumer Goods
Bandhan Bank Ltd.,BANDHANBNK,Financial Services
Bank of Baroda,BANKBARODA,Financial Services
Bank of India,BANKINDIA,Financial Services
Bank of Maharashtra,MAHABANK,Financial Services
Bata India Ltd.,BATAINDIA,Consumer Durables
Bayer Cropscience Ltd.,BAYERCROP,Chemicals
Berger Paints India Ltd.,BERGEPAINT,Consumer Durables
Bharat Dynamics Ltd.,BDL,Capital Goods
Bharat Electronics Ltd.,BEL,Capital Goods
Bharat Forge Ltd.,BHARATFORG,Capital Goods
Bharat Heavy Electricals Ltd.,BHEL,Capital Goods
Bharat Petroleum Corporation Ltd.,BPCL,Oil Gas & Consumable Fuels
Bharti Airtel Ltd.,BHARTIARTL,Telecommunication
Bikaji Foods International Ltd.,BIKAJI,Fast Moving Consumer Goods
Biocon Ltd.,BIOCON,Healthcare
Birla Corporation Ltd.,BIRLACORPN,Construction Materials
Birlasoft Ltd.,BSOFT,Information Technology
Blue Dart Express Ltd.,BLUEDART,Services
Blue Star Ltd.,BLUESTARCO,Consumer Durables
Bombay Burmah Trading Corporation Ltd.,BBTC,Fast Moving Consumer Goods
Borosil Renewables Ltd.,BORORENEW,Capital Goods
Bosch Ltd.,BOSCHLTD,Automobile and Auto Components
