Comment,Description,Designator,Quantity,Man. Part Number
,,,,
22uF,Capacitor - Generic,"C1, C3",2,
10uF 25v,Capacitor - Generic,C2,1,
10uF,Capacitor - Generic,"C4, C11",2,
100nF,Capacitor - Generic,"C5, C7, C8, C10, C14",5,
4n7,Capacitor - ANSI,C6,1,
4uF,Capacitor - Generic,"C9, C13",2,
47uF,Capacitor Polarised - Generic,C12,1,
HSMG-C190,LED Uni-Color Green 570nm 2-Pin Chip LED T/R,D1,1,
HSMY-C190,LED Uni-Color Yellow 589nm 2-Pin Chip LED T/R,"D2, D4",2,
"PRTR5V0U2X,215",Ultra low capacitance double rail-to-rail ESD protection diode Check availability,D3,1,
100v 1A,,"D5, D6, D7, D8",4,
ZENER,Zener Diode - Generic,D9,1,
MMSZ5240BT1G,Zener Diode - Popular parts,D10,1,
FERRITE_BEAD,Ferrite Bead - Generic,FB1,1,
ZX62-AB-5PA(31),"USB - micro AB USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle  Check availability",J1,1,
PINHD-2X3,PIN HEADER,JP1,1,
100K,Resistor Fixed - Generic,"R1, R3, R4, R15",4,
19K1,Resistor Fixed - Generic,R2,1,
430R,Resistor Fixed - Generic,"R5, R16, R17",3,
1M,Resistor Fixed - Generic,R6,1,
0R,Resistor Fixed - Generic,"R7, R18, R19",3,
4k7,Resistor Fixed - Generic,"R8, R9, R10, R11, R12, R13, R14, R20",8,
+5V,SUPPLY SYMBOL  5 Volt (5V0) Bar,"SUPPLY1, SUPPLY3, SUPPLY8, SUPPLY19, SUPPLY24, SUPPLY25, SUPPLY33, SUPPLY35",8,
+3.3V,SUPPLY SYMBOL  3.3 Volt (3V3) Bar,"SUPPLY2, SUPPLY6, SUPPLY7, SUPPLY17, SUPPLY18, SUPPLY20, SUPPLY21, SUPPLY22, SUPPLY23, SUPPLY26, SUPPLY27, SUPPLY30, SUPPLY42",13,
GND,SUPPLY SYMBOL - Ground (GND) Arrow,"SUPPLY4, SUPPLY5, SUPPLY9, SUPPLY10, SUPPLY11, SUPPLY12, SUPPLY15, SUPPLY16, SUPPLY28, SUPPLY29, SUPPLY31, SUPPLY32, SUPPLY34, SUPPLY36, SUPPLY37, SUPPLY39",16,
VUSB,SUPPLY SYMBOL  Positive Voltage (+V) Bar,"SUPPLY14, SUPPLY41",2,
R,SUPPLY SYMBOL  Positive Voltage (+V) Bar,SUPPLY38,1,
C,SUPPLY SYMBOL  Positive Voltage (+V) Bar,SUPPLY40,1,
BSS138PS,Check availability,"T1, T2",2,
ATMEGA4809-AFR,20MHz 48KB TQFP48 Ind 125C Green T&R Check availability,U1,1,
ATSAMD11D14A-MUT,None Buy Part  Check availability,U2,1,
MPM3610AGQV-P,MPM3610A Series 21 V 1.2 A Adj. SMT Synchronous Step-Down Converter - QFN-20 Check availability,U3,1,
LD1117S33TR,IC REG LINEAR 3.3V 800MA SOT223    Manufacturer's datasheet,U4,1,
SCD30,SCD30 Series 5.5 V 75 mA ±3% Carbon Dioxide (CO2) Sensor Module Check availability,U5,1,
4-1437565-1,,U6,1,
G3VM-61E1,Omron NO solid state relay Check availability,"U$1, U$2, U$3, U$4, U$5, U$6, U$7, U$8, U$9, U$10",10,
MPT4,PHOENIX CONNECTOR,"X1, X4, X5",3,
MPT12,PHOENIX CONNECTOR,X2,1,
MPT2,PHOENIX CONNECTOR,X3,1,
