Count: 0	Distance: 0.01ft	Time: 0.04sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.02ft	Time: 0.08sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.03ft	Time: 0.11sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.04ft	Time: 0.14sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.05ft	Time: 0.18sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.06ft	Time: 0.21sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.07ft	Time: 0.24sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.08ft	Time: 0.27sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.09ft	Time: 0.30sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.10ft	Time: 0.33sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.11ft	Time: 0.36sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.11ft	Time: 0.40sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.11ft	Time: 0.43sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.12ft	Time: 0.46sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.13ft	Time: 0.50sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.14ft	Time: 0.53sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.16ft	Time: 0.56sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.15ft	Time: 0.59sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.15ft	Time: 0.62sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.15ft	Time: 0.65sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.15ft	Time: 0.68sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 0.72sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.13ft	Time: 0.75sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.13ft	Time: 0.78sec	Speed: 0.00ft/sec 
Count: 0	Distance: 0.13ft	Time: 0.82sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 0.84sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 0.88sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 0.91sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 0.94sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 0.97sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.01sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.04sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.07sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.10sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.13sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.16sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.19sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.23sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.26sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.29sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.33sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.36sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.39sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.42sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.45sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.48sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.52sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.55sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.58sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.61sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.64sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.68sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.71sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.74sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.77sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.80sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.84sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.87sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.90sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.93sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.96sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 1.99sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.02sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.06sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.09sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.12sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.15sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 2.19sec	Speed: 0.13ft/sec 
